equipment_id,delay_date,duration_hours,reason,impact,resolved
AC-001,2023-05-11,4.9,Valve malfunction,Production reduced,true
AC-001,2023-05-30,1.1,Compressor shutdown,Minimal impact,true
AC-001,2023-06-20,8.1,Control system error,Production stopped,true
AC-001,2023-06-23,7.2,Oil filter clogged,Production reduced,true
AC-001,2023-06-26,4.8,Oil filter clogged,Production reduced,true
AC-001,2023-08-14,10.2,Valve malfunction,Production stopped,true
AC-001,2023-09-26,1.4,Oil filter clogged,Minimal impact,true
AC-001,2023-10-01,0.7,Valve malfunction,Minimal impact,true
AC-001,2023-10-11,5.3,Pressure drop,Production reduced,true
AC-001,2023-10-13,3.6,Control system error,Minor disruption,true
AC-001,2023-10-25,0.5,Cooling system issue,Minimal impact,false
AC-001,2023-11-01,2.2,Valve malfunction,Minor disruption,true
AC-001,2023-11-20,4.6,Control system error,Production reduced,true
AC-001,2023-11-21,2.5,Control system error,Minor disruption,true
AC-001,2023-11-29,2.3,Oil filter clogged,Minor disruption,false
AC-001,2023-12-13,4.0,Compressor shutdown,Production reduced,true
AC-001,2024-01-09,1.6,Valve malfunction,Minimal impact,true
AC-001,2024-03-16,1.8,Compressor shutdown,Minimal impact,true
AC-001,2024-03-27,4.3,Control system error,Production reduced,false
AC-001,2024-05-06,5.1,Valve malfunction,Production reduced,true
AC-001,2024-05-13,3.4,Pressure drop,Minor disruption,true
AC-001,2024-05-21,3.9,Valve malfunction,Minor disruption,true
AC-001,2024-06-03,7.5,Cooling system issue,Production reduced,true
AC-001,2024-06-07,4.9,Compressor shutdown,Production reduced,true
AC-001,2024-06-08,8.4,Cooling system issue,Production stopped,true
AC-001,2024-06-16,9.2,Cooling system issue,Production stopped,true
AC-001,2024-07-18,4.8,Oil filter clogged,Production reduced,true
AC-001,2024-07-21,4.6,Pressure drop,Production reduced,true
AC-001,2024-08-31,11.7,Compressor shutdown,Production stopped,true
AC-001,2024-09-03,2.2,Valve malfunction,Minor disruption,true
AC-001,2024-10-23,3.0,Valve malfunction,Minor disruption,true
AC-001,2024-11-25,5.2,Cooling system issue,Production reduced,true
AC-001,2024-12-09,2.2,Compressor shutdown,Minor disruption,true
AC-001,2024-12-17,2.7,Compressor shutdown,Minor disruption,true
AC-001,2024-12-24,2.5,Valve malfunction,Minor disruption,true
AC-001,2025-01-06,2.1,Pressure drop,Minor disruption,true
AC-001,2025-01-07,5.9,Compressor shutdown,Production reduced,true
AC-001,2025-01-18,5.3,Control system error,Production reduced,true
AC-001,2025-01-21,4.1,Control system error,Production reduced,true
AC-001,2025-01-28,2.3,Control system error,Minor disruption,true
AC-001,2025-02-14,5.2,Temperature sensor failure,Production reduced,true
AC-001,2025-03-06,3.1,Oil filter clogged,Minor disruption,false
AC-001,2025-05-05,3.4,Cooling system issue,Minor disruption,true
AC-001,2025-05-09,0.8,Control system error,Minimal impact,true
AC-001,2025-05-18,5.8,Temperature sensor failure,Production reduced,true
AC-001,2025-05-19,4.8,Control system error,Production reduced,true
AC-001,2025-06-04,8.8,Compressor shutdown,Production stopped,true
AC-001,2025-06-04,7.5,Cooling system issue,Production reduced,true
AC-001,2025-06-07,3.6,Compressor shutdown,Minor disruption,true
AC-001,2025-07-04,11.7,Control system error,Production stopped,true
AC-001,2025-07-12,6.7,Oil filter clogged,Production reduced,true
AC-001,2025-08-06,12.0,Valve malfunction,Production stopped,true
AC-001,2025-08-13,9.5,Valve malfunction,Production stopped,true
AC-001,2025-08-14,4.6,Valve malfunction,Production reduced,true
AC-001,2025-09-25,1.1,Valve malfunction,Minimal impact,true
AC-001,2025-10-02,4.5,Compressor shutdown,Production reduced,true
AC-001,2025-10-15,2.9,Valve malfunction,Minor disruption,true
AC-001,2025-11-14,5.8,Compressor shutdown,Production reduced,true
AC-001,2025-11-19,4.5,Compressor shutdown,Production reduced,true
AC-001,2025-12-10,5.8,Compressor shutdown,Production reduced,true
AC-001,2025-12-20,1.3,Control system error,Minimal impact,true
AC-001,2026-01-11,1.7,Compressor shutdown,Minimal impact,true
AC-001,2026-02-04,5.2,Pressure drop,Production reduced,true
AC-001,2026-02-09,2.8,Valve malfunction,Minor disruption,true
AC-001,2026-02-19,5.5,Pressure drop,Production reduced,true
AC-001,2026-02-20,0.6,Valve malfunction,Minimal impact,true
AC-001,2026-03-19,1.9,Temperature sensor failure,Minimal impact,true
AC-001,2026-04-17,1.3,Control system error,Minimal impact,true
AC-001,2026-04-17,1.2,Valve malfunction,Minimal impact,true
AC-001,2026-05-03,5.4,Valve malfunction,Production reduced,true
AC-001,2026-05-23,3.2,Valve malfunction,Minor disruption,true
AC-002,2020-04-03,2.1,Compressor shutdown,Minor disruption,true
AC-002,2020-04-18,4.9,Cooling system issue,Production reduced,true
AC-002,2020-04-19,4.6,Oil filter clogged,Production reduced,true
AC-002,2020-04-25,5.8,Temperature sensor failure,Production reduced,true
AC-002,2020-04-25,0.9,Temperature sensor failure,Minimal impact,true
AC-002,2020-05-18,0.7,Valve malfunction,Minimal impact,true
AC-002,2020-08-13,10.4,Pressure drop,Production stopped,true
AC-002,2020-08-26,7.3,Cooling system issue,Production reduced,true
AC-002,2020-09-03,5.3,Valve malfunction,Production reduced,true
AC-002,2020-09-14,1.7,Valve malfunction,Minimal impact,true
AC-002,2020-09-17,4.2,Control system error,Production reduced,true
AC-002,2020-09-23,2.2,Cooling system issue,Minor disruption,false
AC-002,2020-10-17,2.1,Cooling system issue,Minor disruption,true
AC-002,2020-11-07,1.8,Compressor shutdown,Minimal impact,true
AC-002,2020-12-01,1.4,Oil filter clogged,Minimal impact,true
AC-002,2020-12-05,5.7,Pressure drop,Production reduced,true
AC-002,2020-12-06,0.7,Compressor shutdown,Minimal impact,true
AC-002,2021-01-12,2.1,Pressure drop,Minor disruption,true
AC-002,2021-01-14,4.2,Valve malfunction,Production reduced,true
AC-002,2021-01-19,5.2,Compressor shutdown,Production reduced,true
AC-002,2021-02-06,3.8,Temperature sensor failure,Minor disruption,true
AC-002,2021-03-09,2.9,Cooling system issue,Minor disruption,true
AC-002,2021-03-11,2.7,Compressor shutdown,Minor disruption,true
AC-002,2021-03-28,3.7,Valve malfunction,Minor disruption,true
AC-002,2021-03-30,4.7,Pressure drop,Production reduced,true
AC-002,2021-04-03,2.9,Control system error,Minor disruption,true
AC-002,2021-04-07,2.5,Pressure drop,Minor disruption,true
AC-002,2021-04-19,1.4,Control system error,Minimal impact,true
AC-002,2021-04-20,3.9,Oil filter clogged,Minor disruption,true
AC-002,2021-05-10,3.9,Cooling system issue,Minor disruption,true
AC-002,2021-05-10,5.3,Pressure drop,Production reduced,true
AC-002,2021-05-10,2.1,Temperature sensor failure,Minor disruption,true
AC-002,2021-05-14,3.2,Oil filter clogged,Minor disruption,true
AC-002,2021-05-19,3.5,Valve malfunction,Minor disruption,true
AC-002,2021-05-20,2.0,Valve malfunction,Minor disruption,true
AC-002,2021-05-20,5.9,Oil filter clogged,Production reduced,true
AC-002,2021-05-23,4.5,Control system error,Production reduced,true
AC-002,2021-06-11,3.1,Oil filter clogged,Minor disruption,true
AC-002,2021-07-09,8.1,Temperature sensor failure,Production stopped,true
AC-002,2021-08-18,3.2,Control system error,Minor disruption,true
AC-002,2021-08-31,7.7,Pressure drop,Production reduced,true
AC-002,2021-09-05,4.5,Control system error,Production reduced,true
AC-002,2021-09-08,4.3,Oil filter clogged,Production reduced,true
AC-002,2021-09-15,1.0,Temperature sensor failure,Minimal impact,true
AC-002,2021-09-26,2.4,Cooling system issue,Minor disruption,true
AC-002,2021-10-19,3.5,Compressor shutdown,Minor disruption,true
AC-002,2021-11-07,2.3,Control system error,Minor disruption,true
AC-002,2021-11-09,5.3,Temperature sensor failure,Production reduced,true
AC-002,2021-11-26,2.1,Valve malfunction,Minor disruption,true
AC-002,2021-11-28,1.7,Pressure drop,Minimal impact,true
AC-002,2021-12-24,2.0,Control system error,Minor disruption,true
AC-002,2022-01-05,5.9,Valve malfunction,Production reduced,true
AC-002,2022-01-13,2.3,Pressure drop,Minor disruption,true
AC-002,2022-03-03,4.0,Oil filter clogged,Minor disruption,true
AC-002,2022-03-10,3.9,Oil filter clogged,Minor disruption,false
AC-002,2022-03-10,1.0,Valve malfunction,Minimal impact,true
AC-002,2022-03-23,3.2,Control system error,Minor disruption,true
AC-002,2022-04-14,2.9,Compressor shutdown,Minor disruption,true
AC-002,2022-04-23,1.2,Valve malfunction,Minimal impact,false
AC-002,2022-04-29,5.3,Valve malfunction,Production reduced,true
AC-002,2022-05-21,0.8,Compressor shutdown,Minimal impact,true
AC-002,2022-06-03,4.9,Control system error,Production reduced,true
AC-002,2022-07-14,5.6,Pressure drop,Production reduced,true
AC-002,2022-07-20,8.5,Cooling system issue,Production stopped,false
AC-002,2022-08-01,3.8,Oil filter clogged,Minor disruption,true
AC-002,2022-08-07,3.5,Control system error,Minor disruption,true
AC-002,2022-08-23,2.3,Pressure drop,Minor disruption,true
AC-002,2022-09-02,3.9,Pressure drop,Minor disruption,true
AC-002,2022-09-21,4.7,Valve malfunction,Production reduced,true
AC-002,2022-09-28,1.4,Valve malfunction,Minimal impact,false
AC-002,2022-10-01,3.0,Control system error,Minor disruption,true
AC-002,2022-10-07,5.2,Compressor shutdown,Production reduced,true
AC-002,2022-10-30,1.5,Oil filter clogged,Minimal impact,true
AC-002,2022-12-04,3.3,Valve malfunction,Minor disruption,true
AC-002,2022-12-07,0.9,Cooling system issue,Minimal impact,true
AC-002,2022-12-10,2.0,Temperature sensor failure,Minimal impact,true
AC-002,2022-12-20,1.9,Oil filter clogged,Minimal impact,true
AC-002,2023-01-08,3.0,Control system error,Minor disruption,true
AC-002,2023-02-03,2.7,Cooling system issue,Minor disruption,true
AC-002,2023-03-12,3.4,Valve malfunction,Minor disruption,true
AC-002,2023-04-13,2.6,Temperature sensor failure,Minor disruption,true
AC-002,2023-04-18,2.3,Valve malfunction,Minor disruption,true
AC-002,2023-04-25,4.3,Oil filter clogged,Production reduced,true
AC-002,2023-05-22,0.9,Control system error,Minimal impact,true
AC-002,2023-06-13,4.2,Pressure drop,Production reduced,true
AC-002,2023-07-19,4.5,Temperature sensor failure,Production reduced,true
AC-002,2023-07-25,10.5,Oil filter clogged,Production stopped,true
AC-002,2023-09-06,5.0,Compressor shutdown,Production reduced,true
AC-002,2023-09-14,1.2,Cooling system issue,Minimal impact,true
AC-002,2023-09-19,3.8,Oil filter clogged,Minor disruption,true
AC-002,2023-09-25,5.0,Temperature sensor failure,Production reduced,true
AC-002,2023-10-22,4.7,Compressor shutdown,Production reduced,true
AC-002,2023-11-10,4.9,Valve malfunction,Production reduced,true
AC-002,2023-12-17,0.7,Pressure drop,Minimal impact,true
AC-002,2023-12-26,5.4,Compressor shutdown,Production reduced,true
AC-002,2024-01-17,3.3,Oil filter clogged,Minor disruption,true
AC-002,2024-01-20,1.6,Control system error,Minimal impact,true
AC-002,2024-01-24,4.3,Pressure drop,Production reduced,true
AC-002,2024-02-08,4.8,Valve malfunction,Production reduced,true
AC-002,2024-02-12,5.6,Pressure drop,Production reduced,true
AC-002,2024-04-11,5.1,Valve malfunction,Production reduced,true
AC-002,2024-04-13,2.9,Control system error,Minor disruption,true
AC-002,2024-04-21,5.3,Cooling system issue,Production reduced,true
AC-002,2024-04-25,5.0,Oil filter clogged,Production reduced,true
AC-002,2024-05-24,4.3,Oil filter clogged,Production reduced,true
AC-002,2024-06-27,2.7,Temperature sensor failure,Minor disruption,true
AC-002,2024-07-24,1.8,Temperature sensor failure,Minimal impact,true
AC-002,2024-08-01,10.5,Compressor shutdown,Production stopped,true
AC-002,2024-08-26,10.7,Compressor shutdown,Production stopped,true
AC-002,2024-09-02,3.6,Compressor shutdown,Minor disruption,true
AC-002,2024-09-27,4.4,Compressor shutdown,Production reduced,true
AC-002,2024-10-15,5.0,Cooling system issue,Production reduced,true
AC-002,2024-11-22,3.9,Temperature sensor failure,Minor disruption,false
AC-002,2024-12-04,4.3,Compressor shutdown,Production reduced,true
AC-002,2024-12-16,4.3,Temperature sensor failure,Production reduced,true
AC-002,2024-12-22,5.3,Oil filter clogged,Production reduced,true
AC-002,2025-02-05,4.8,Pressure drop,Production reduced,true
AC-002,2025-03-27,2.5,Control system error,Minor disruption,true
AC-002,2025-04-27,3.1,Compressor shutdown,Minor disruption,true
AC-002,2025-05-10,3.1,Cooling system issue,Minor disruption,true
AC-002,2025-05-12,4.5,Valve malfunction,Production reduced,true
AC-002,2025-05-28,3.9,Compressor shutdown,Minor disruption,true
AC-002,2025-06-06,3.3,Temperature sensor failure,Minor disruption,true
AC-002,2025-06-09,6.9,Temperature sensor failure,Production reduced,true
AC-002,2025-07-06,9.5,Pressure drop,Production stopped,true
AC-002,2025-07-14,7.1,Cooling system issue,Production reduced,true
AC-002,2025-07-21,7.0,Oil filter clogged,Production reduced,true
AC-002,2025-07-24,11.6,Temperature sensor failure,Production stopped,true
AC-002,2025-08-23,3.5,Control system error,Minor disruption,true
AC-002,2025-09-13,5.2,Control system error,Production reduced,true
AC-002,2025-10-20,0.8,Pressure drop,Minimal impact,true
AC-002,2025-11-15,4.3,Oil filter clogged,Production reduced,true
AC-002,2025-12-08,2.5,Cooling system issue,Minor disruption,true
AC-002,2025-12-10,5.8,Pressure drop,Production reduced,true
AC-002,2025-12-27,4.4,Oil filter clogged,Production reduced,true
AC-002,2026-01-01,1.7,Cooling system issue,Minimal impact,true
AC-002,2026-01-08,5.6,Cooling system issue,Production reduced,false
AC-002,2026-01-15,1.6,Temperature sensor failure,Minimal impact,true
AC-002,2026-01-27,4.1,Compressor shutdown,Production reduced,true
AC-002,2026-02-17,4.9,Control system error,Production reduced,true
AC-002,2026-02-26,0.7,Oil filter clogged,Minimal impact,true
AC-002,2026-03-06,0.6,Valve malfunction,Minimal impact,true
AC-002,2026-03-11,4.5,Valve malfunction,Production reduced,true
AC-002,2026-04-08,1.3,Pressure drop,Minimal impact,true
AC-002,2026-04-13,3.6,Oil filter clogged,Minor disruption,true
AC-002,2026-04-16,5.8,Control system error,Production reduced,true
AC-002,2026-05-04,3.1,Compressor shutdown,Minor disruption,true
AC-002,2026-05-18,3.4,Oil filter clogged,Minor disruption,true
AC-002,2026-05-29,2.6,Temperature sensor failure,Minor disruption,true
AC-002,2026-06-14,7.1,Control system error,Production reduced,true
CF-003,2019-12-02,0.6,Overheating,Minimal impact,true
CF-003,2019-12-03,5.1,Belt slippage,Production reduced,true
CF-003,2019-12-07,5.8,Belt slippage,Production reduced,true
CF-003,2019-12-11,5.5,Motor bearing noise,Production reduced,true
CF-003,2019-12-28,0.8,Belt slippage,Minimal impact,true
CF-003,2020-01-05,5.4,Overheating,Production reduced,true
CF-003,2020-01-12,2.5,Overheating,Minor disruption,true
CF-003,2020-01-14,3.0,Electrical fault,Minor disruption,true
CF-003,2020-01-20,2.2,Fan speed irregular,Minor disruption,true
CF-003,2020-02-06,4.5,Fan blade imbalance,Production reduced,true
CF-003,2020-03-01,1.5,Fan speed irregular,Minimal impact,true
CF-003,2020-03-08,2.1,Electrical fault,Minor disruption,true
CF-003,2020-04-11,2.9,Motor bearing noise,Minor disruption,true
CF-003,2020-04-18,2.5,Electrical fault,Minor disruption,true
CF-003,2020-05-09,2.8,Belt slippage,Minor disruption,true
CF-003,2020-05-17,0.7,Belt slippage,Minimal impact,true
CF-003,2020-05-26,4.2,Fan speed irregular,Production reduced,true
CF-003,2020-05-28,4.5,Fan speed irregular,Production reduced,true
CF-003,2020-05-30,4.3,Electrical fault,Production reduced,true
CF-003,2020-06-06,8.5,Vibration alarm,Production stopped,true
CF-003,2020-07-08,9.7,Overheating,Production stopped,true
CF-003,2020-07-11,4.3,Electrical fault,Production reduced,true
CF-003,2020-07-13,4.7,Electrical fault,Production reduced,true
CF-003,2020-07-14,2.2,Belt slippage,Minor disruption,true
CF-003,2020-07-29,9.4,Fan speed irregular,Production stopped,true
CF-003,2020-09-20,1.7,Fan blade imbalance,Minimal impact,true
CF-003,2020-10-01,4.3,Electrical fault,Production reduced,true
CF-003,2020-10-04,0.5,Overheating,Minimal impact,true
CF-003,2020-10-05,0.6,Belt slippage,Minimal impact,true
CF-003,2020-10-14,0.9,Vibration alarm,Minimal impact,true
CF-003,2020-11-09,0.8,Fan blade imbalance,Minimal impact,true
CF-003,2020-11-13,1.6,Belt slippage,Minimal impact,true
CF-003,2020-11-13,4.9,Belt slippage,Production reduced,true
CF-003,2020-11-22,1.6,Electrical fault,Minimal impact,true
CF-003,2020-12-16,5.4,Overheating,Production reduced,true
CF-003,2021-01-02,4.2,Electrical fault,Production reduced,true
CF-003,2021-01-12,4.3,Belt slippage,Production reduced,true
CF-003,2021-02-07,1.3,Vibration alarm,Minimal impact,true
CF-003,2021-02-14,2.0,Electrical fault,Minimal impact,true
CF-003,2021-03-06,5.4,Motor bearing noise,Production reduced,true
CF-003,2021-03-06,3.4,Electrical fault,Minor disruption,true
CF-003,2021-05-14,4.3,Fan speed irregular,Production reduced,true
CF-003,2021-06-30,6.9,Vibration alarm,Production reduced,true
CF-003,2021-08-03,11.3,Belt slippage,Production stopped,true
CF-003,2021-08-30,1.5,Electrical fault,Minimal impact,true
CF-003,2021-09-09,4.9,Fan speed irregular,Production reduced,true
CF-003,2021-10-04,2.3,Overheating,Minor disruption,false
CF-003,2021-10-06,1.3,Overheating,Minimal impact,true
CF-003,2021-10-16,1.0,Electrical fault,Minimal impact,true
CF-003,2021-12-08,2.3,Electrical fault,Minor disruption,true
CF-003,2021-12-12,0.7,Overheating,Minimal impact,true
CF-003,2021-12-17,2.8,Electrical fault,Minor disruption,true
CF-003,2021-12-18,5.5,Belt slippage,Production reduced,true
CF-003,2021-12-30,2.5,Fan blade imbalance,Minor disruption,true
CF-003,2022-02-08,3.1,Electrical fault,Minor disruption,true
CF-003,2022-02-09,0.7,Electrical fault,Minimal impact,true
CF-003,2022-02-24,1.9,Belt slippage,Minimal impact,true
CF-003,2022-03-27,4.6,Electrical fault,Production reduced,false
CF-003,2022-06-18,3.7,Belt slippage,Minor disruption,false
CF-003,2022-06-23,2.3,Vibration alarm,Minor disruption,true
CF-003,2022-06-29,4.3,Vibration alarm,Production reduced,true
CF-003,2022-06-30,9.6,Belt slippage,Production stopped,false
CF-003,2022-07-19,2.2,Fan speed irregular,Minor disruption,true
CF-003,2022-07-21,6.0,Vibration alarm,Production reduced,true
CF-003,2022-08-09,2.1,Overheating,Minor disruption,false
CF-003,2022-09-27,5.3,Overheating,Production reduced,true
CF-003,2022-10-24,5.8,Vibration alarm,Production reduced,true
CF-003,2022-10-26,3.1,Fan blade imbalance,Minor disruption,true
CF-003,2022-11-06,2.2,Belt slippage,Minor disruption,true
CF-003,2022-12-05,0.6,Electrical fault,Minimal impact,true
CF-003,2022-12-25,5.3,Fan speed irregular,Production reduced,true
CF-003,2022-12-27,1.9,Motor bearing noise,Minimal impact,true
CF-003,2023-01-09,5.5,Vibration alarm,Production reduced,true
CF-003,2023-01-11,0.7,Fan blade imbalance,Minimal impact,true
CF-003,2023-01-26,1.7,Fan speed irregular,Minimal impact,true
CF-003,2023-02-04,1.9,Belt slippage,Minimal impact,true
CF-003,2023-02-13,2.4,Electrical fault,Minor disruption,true
CF-003,2023-02-25,4.8,Fan blade imbalance,Production reduced,false
CF-003,2023-03-06,3.0,Motor bearing noise,Minor disruption,false
CF-003,2023-03-07,0.6,Motor bearing noise,Minimal impact,true
CF-003,2023-03-28,0.9,Vibration alarm,Minimal impact,true
CF-003,2023-04-12,5.5,Fan blade imbalance,Production reduced,true
CF-003,2023-04-25,5.7,Fan speed irregular,Production reduced,true
CF-003,2023-04-29,4.4,Vibration alarm,Production reduced,true
CF-003,2023-05-27,5.0,Belt slippage,Production reduced,true
CF-003,2023-05-30,4.6,Vibration alarm,Production reduced,true
CF-003,2023-05-31,5.8,Fan speed irregular,Production reduced,true
CF-003,2023-06-03,5.5,Overheating,Production reduced,true
CF-003,2023-06-18,5.9,Electrical fault,Production reduced,true
CF-003,2023-06-30,5.7,Fan blade imbalance,Production reduced,true
CF-003,2023-07-01,1.8,Vibration alarm,Minimal impact,true
CF-003,2023-09-27,4.7,Belt slippage,Production reduced,true
CF-003,2023-10-01,2.9,Fan blade imbalance,Minor disruption,false
CF-003,2023-10-13,4.5,Vibration alarm,Production reduced,true
CF-003,2023-11-03,4.6,Fan blade imbalance,Production reduced,true
CF-003,2023-11-03,1.0,Fan blade imbalance,Minimal impact,true
CF-003,2023-11-08,2.9,Fan blade imbalance,Minor disruption,true
CF-003,2023-11-14,3.3,Belt slippage,Minor disruption,true
CF-003,2023-12-29,2.0,Motor bearing noise,Minimal impact,true
CF-003,2024-01-15,0.7,Overheating,Minimal impact,true
CF-003,2024-01-28,3.6,Electrical fault,Minor disruption,true
CF-003,2024-01-31,5.8,Fan blade imbalance,Production reduced,true
CF-003,2024-02-05,0.6,Vibration alarm,Minimal impact,true
CF-003,2024-02-23,4.3,Motor bearing noise,Production reduced,true
CF-003,2024-03-01,5.3,Electrical fault,Production reduced,true
CF-003,2024-03-15,1.4,Overheating,Minimal impact,true
CF-003,2024-03-24,1.3,Vibration alarm,Minimal impact,true
CF-003,2024-04-03,5.5,Belt slippage,Production reduced,true
CF-003,2024-05-24,4.1,Overheating,Production reduced,true
CF-003,2024-05-24,5.9,Motor bearing noise,Production reduced,true
CF-003,2024-05-28,4.3,Vibration alarm,Production reduced,true
CF-003,2024-06-10,4.0,Belt slippage,Production reduced,true
CF-003,2024-07-17,5.4,Electrical fault,Production reduced,true
CF-003,2024-08-03,1.7,Fan speed irregular,Minimal impact,true
CF-003,2024-08-29,6.3,Belt slippage,Production reduced,true
CF-003,2024-08-31,11.1,Overheating,Production stopped,true
CF-003,2024-08-31,6.1,Fan speed irregular,Production reduced,true
CF-003,2024-09-16,5.4,Belt slippage,Production reduced,true
CF-003,2024-09-19,4.8,Overheating,Production reduced,true
CF-003,2024-10-01,1.4,Overheating,Minimal impact,true
CF-003,2024-10-16,4.6,Motor bearing noise,Production reduced,true
CF-003,2024-11-28,4.8,Vibration alarm,Production reduced,true
CF-003,2024-12-01,3.1,Fan blade imbalance,Minor disruption,true
CF-003,2024-12-12,0.9,Motor bearing noise,Minimal impact,true
CF-003,2025-01-18,5.2,Belt slippage,Production reduced,true
CF-003,2025-01-22,4.8,Belt slippage,Production reduced,true
CF-003,2025-02-04,0.9,Fan speed irregular,Minimal impact,true
CF-003,2025-02-18,3.0,Belt slippage,Minor disruption,false
CF-003,2025-04-02,3.0,Electrical fault,Minor disruption,false
CF-003,2025-04-23,1.0,Overheating,Minimal impact,true
