equipment_id,maintenance_date,maintenance_type,technician,actions_taken,parts_used,duration_hours
AC-002,2020-05-31,Preventive,Michael O'Brien,Bearing lubrication,Grease,1.4
AC-002,2020-06-09,Scheduled,Sarah Chen,Pressure sensor calibration,Calibration kit,0.8
AC-002,2020-06-09,Corrective,David Kim,Compressor belt tensioning,None,0.8
AC-002,2020-06-13,Preventive,Michael O'Brien,Air filter replacement,Air filter,0.4
AC-002,2020-06-20,Preventive,Sarah Chen,Air filter replacement,Air filter,0.6
AC-002,2020-06-21,Preventive,Maria Garcia,Cooling system cleaning,Cleaning solution,1.9
AC-002,2020-06-23,Preventive,John Martinez,Valve inspection and adjustment,Valve kit,2.5
AC-002,2020-06-25,Preventive,Priya Patel,Compressor belt tensioning,None,1.0
AC-002,2020-06-30,Preventive,Sarah Chen,Bearing lubrication,Grease,1.2
AC-002,2020-07-08,Emergency,Michael O'Brien,Valve inspection and adjustment,Valve kit,3.0
AC-002,2020-07-14,Preventive,James Wilson,Compressor belt tensioning,None,0.9
AC-002,2020-07-20,Predictive,John Martinez,Air filter replacement,Air filter,0.5
AC-002,2020-07-22,Preventive,Sarah Chen,Cooling system cleaning,Cleaning solution,1.8
AC-002,2020-07-23,Emergency,Carlos Rodriguez,Valve inspection and adjustment,Valve kit,2.5
AC-002,2020-07-27,Preventive,Lisa Anderson,Compressor belt tensioning,None,1.2
AC-002,2020-08-15,Preventive,Carlos Rodriguez,Compressor belt tensioning,None,1.0
AC-002,2020-08-27,Preventive,David Kim,Compressor belt tensioning,None,0.9
AC-002,2020-09-11,Preventive,Emma Thompson,Compressor belt tensioning,None,1.2
AC-002,2020-09-20,Preventive,James Wilson,Air filter replacement,Air filter,0.6
AC-002,2020-09-29,Preventive,Maria Garcia,Air filter replacement,Air filter,0.5
AC-002,2020-10-01,Preventive,James Wilson,Pressure sensor calibration,Calibration kit,0.9
AC-002,2020-10-01,Preventive,Maria Garcia,Oil change and filter replacement,Oil;Filter,2.8
AC-002,2020-10-14,Preventive,Lisa Anderson,Pressure sensor calibration,Calibration kit,1.2
AC-002,2020-10-15,Preventive,Emma Thompson,Compressor belt tensioning,None,0.9
AC-002,2020-10-19,Preventive,James Wilson,Compressor belt tensioning,None,1.1
AC-002,2020-12-06,Preventive,Carlos Rodriguez,Oil change and filter replacement,Oil;Filter,2.1
AC-002,2020-12-14,Preventive,John Martinez,Pressure sensor calibration,Calibration kit,1.2
AC-002,2020-12-19,Preventive,Michael O'Brien,Air filter replacement,Air filter,0.4
AC-002,2020-12-19,Corrective,Carlos Rodriguez,Air filter replacement,Air filter,0.5
AC-002,2020-12-22,Preventive,Lisa Anderson,Pressure sensor calibration,Calibration kit,0.8
AC-002,2021-01-12,Preventive,John Martinez,Bearing lubrication,Grease,1.3
AC-002,2021-01-13,Corrective,Maria Garcia,Bearing lubrication,Grease,1.7
AC-002,2021-02-03,Preventive,Emma Thompson,Compressor belt tensioning,None,1.3
AC-002,2021-02-05,Preventive,James Wilson,Bearing lubrication,Grease,1.7
AC-002,2021-02-19,Emergency,Sarah Chen,Air filter replacement,Air filter,0.4
AC-002,2021-03-10,Corrective,David Kim,Compressor belt tensioning,None,0.9
AC-002,2021-03-17,Preventive,Lisa Anderson,Cooling system cleaning,Cleaning solution,2.4
AC-002,2021-03-19,Preventive,Emma Thompson,Pressure sensor calibration,Calibration kit,1.1
AC-002,2021-03-21,Preventive,John Martinez,Pressure sensor calibration,Calibration kit,1.2
AC-002,2021-03-27,Preventive,Lisa Anderson,Oil change and filter replacement,Oil;Filter,3.1
AC-002,2021-03-29,Corrective,John Martinez,Bearing lubrication,Grease,1.4
AC-002,2021-04-02,Corrective,Priya Patel,Pressure sensor calibration,Calibration kit,1.2
AC-002,2021-04-06,Preventive,Lisa Anderson,Compressor belt tensioning,None,0.9
AC-002,2021-04-19,Emergency,Sarah Chen,Oil change and filter replacement,Oil;Filter,2.9
AC-002,2021-04-20,Corrective,James Wilson,Oil change and filter replacement,Oil;Filter,2.2
AC-002,2021-04-22,Emergency,Carlos Rodriguez,Valve inspection and adjustment,Valve kit,2.6
AC-002,2021-04-25,Preventive,David Kim,Valve inspection and adjustment,Valve kit,3.2
AC-002,2021-05-03,Corrective,Priya Patel,Pressure sensor calibration,Calibration kit,0.8
AC-002,2021-05-16,Preventive,Emma Thompson,Bearing lubrication,Grease,1.5
AC-002,2021-06-15,Corrective,Emma Thompson,Valve inspection and adjustment,Valve kit,3.7
AC-002,2021-06-15,Preventive,Emma Thompson,Valve inspection and adjustment,Valve kit,3.2
AC-002,2021-06-17,Preventive,Maria Garcia,Bearing lubrication,Grease,1.7
AC-002,2021-07-28,Preventive,Sarah Chen,Oil change and filter replacement,Oil;Filter,3.1
AC-002,2021-08-13,Preventive,Maria Garcia,Pressure sensor calibration,Calibration kit,1.3
AC-002,2021-08-29,Corrective,David Kim,Cooling system cleaning,Cleaning solution,1.7
AC-002,2021-08-30,Corrective,Priya Patel,Air filter replacement,Air filter,0.4
AC-002,2021-09-10,Preventive,James Wilson,Cooling system cleaning,Cleaning solution,2.2
AC-002,2021-09-11,Preventive,James Wilson,Valve inspection and adjustment,Valve kit,3.0
AC-002,2021-10-26,Preventive,Lisa Anderson,Valve inspection and adjustment,Valve kit,3.7
AC-002,2021-11-04,Preventive,David Kim,Pressure sensor calibration,Calibration kit,1.0
AC-002,2021-11-10,Corrective,Emma Thompson,Air filter replacement,Air filter,0.4
AC-002,2021-11-20,Preventive,John Martinez,Air filter replacement,Air filter,0.5
AC-002,2021-11-20,Preventive,Carlos Rodriguez,Valve inspection and adjustment,Valve kit,3.1
AC-002,2021-12-16,Preventive,Lisa Anderson,Oil change and filter replacement,Oil;Filter,2.6
AC-002,2021-12-23,Preventive,James Wilson,Valve inspection and adjustment,Valve kit,3.3
AC-002,2021-12-25,Corrective,Maria Garcia,Compressor belt tensioning,None,1.2
