equipment_id,timestamp,temperature_c,vibration_mm_s,pressure_bar,current_a,rpm
AC-001,2026-06-09 14:13:13,85.2,2.21,5.6,45.8,1478
AC-001,2026-06-09 15:13:13,85.4,2.63,5.57,45.9,1479
AC-001,2026-06-09 16:13:13,85.7,2.41,5.54,46.0,1461
AC-001,2026-06-09 17:13:13,85.9,2.35,5.5,46.1,1463
AC-001,2026-06-09 18:13:13,86.1,2.54,5.47,46.2,1489
AC-001,2026-06-09 19:13:13,86.4,2.24,5.44,46.3,1471
AC-001,2026-06-09 20:13:13,86.6,2.32,5.41,46.3,1487
AC-001,2026-06-09 21:13:13,86.8,2.67,5.37,46.4,1487
AC-001,2026-06-09 22:13:13,87.1,2.49,5.34,46.5,1465
AC-001,2026-06-09 23:13:13,87.3,2.06,5.31,46.6,1462
AC-001,2026-06-10 00:13:13,87.5,2.32,5.28,46.7,1479
AC-001,2026-06-10 01:13:13,87.8,2.21,5.24,46.8,1484
AC-001,2026-06-10 02:13:13,88.0,2.57,5.21,46.9,1487
AC-001,2026-06-10 03:13:13,88.3,2.3,5.18,47.0,1480
AC-001,2026-06-10 04:13:13,88.5,2.65,5.14,47.1,1489
AC-001,2026-06-10 05:13:13,88.7,2.63,5.11,47.1,1479
AC-001,2026-06-10 06:13:13,89.0,2.67,5.08,47.2,1492
AC-001,2026-06-10 07:13:13,89.2,2.69,5.05,47.3,1465
AC-001,2026-06-10 08:13:13,89.4,2.58,5.01,47.4,1487
AC-001,2026-06-10 09:13:13,89.7,2.61,4.98,47.5,1483
AC-001,2026-06-10 10:13:13,89.9,2.65,4.95,47.6,1469
AC-001,2026-06-10 11:13:13,90.1,2.13,4.92,47.7,1486
AC-001,2026-06-10 12:13:13,90.4,2.21,4.88,47.8,1477
AC-001,2026-06-10 13:13:13,90.6,2.73,4.85,47.9,1465
AC-001,2026-06-10 14:13:13,90.9,2.58,4.82,47.9,1481
AC-001,2026-06-10 15:13:13,91.1,2.46,4.79,48.0,1490
AC-001,2026-06-10 16:13:13,91.3,2.63,4.75,48.1,1488
AC-001,2026-06-10 17:13:13,91.6,2.64,4.72,48.2,1471
AC-001,2026-06-10 18:13:13,91.8,2.75,4.69,48.3,1489
AC-001,2026-06-10 19:13:13,92.0,2.69,4.66,48.4,1473
AC-001,2026-06-10 20:13:13,92.3,2.74,4.62,48.5,1497
AC-001,2026-06-10 21:13:13,92.5,2.88,4.59,48.6,1457
AC-001,2026-06-10 22:13:13,92.8,2.69,4.56,48.7,1489
AC-001,2026-06-10 23:13:13,93.0,2.7,4.53,48.7,1470
AC-001,2026-06-11 00:13:13,93.2,2.39,4.49,48.8,1472
AC-001,2026-06-11 01:13:13,93.5,2.59,4.46,48.9,1485
AC-001,2026-06-11 02:13:13,93.7,2.68,4.43,49.0,1477
AC-001,2026-06-11 03:13:13,93.9,2.97,4.4,49.1,1470
AC-001,2026-06-11 04:13:13,94.2,2.58,4.36,49.2,1489
AC-001,2026-06-11 05:13:13,94.4,2.82,4.33,49.3,1478
AC-001,2026-06-11 06:13:13,94.6,2.69,4.3,49.4,1493
AC-001,2026-06-11 07:13:13,94.9,2.66,4.27,49.5,1496
AC-001,2026-06-11 08:13:13,95.1,2.52,4.23,49.5,1484
AC-001,2026-06-11 09:13:13,95.4,2.75,4.2,49.6,1465
AC-001,2026-06-11 10:13:13,95.6,2.69,4.17,49.7,1485
AC-001,2026-06-11 11:13:13,95.8,2.74,4.14,49.8,1469
AC-001,2026-06-11 12:13:13,96.1,2.74,4.1,49.9,1478
AC-001,2026-06-11 13:13:13,96.3,2.36,4.07,50.0,1485
AC-001,2026-06-11 14:13:13,96.5,2.85,4.04,50.1,1483
AC-001,2026-06-11 15:13:13,96.8,2.7,4.01,50.2,1476
AC-001,2026-06-11 16:13:13,97.0,2.73,3.97,50.3,1481
AC-001,2026-06-11 17:13:13,97.2,2.58,3.94,50.3,1463
AC-001,2026-06-11 18:13:13,97.5,2.48,3.91,50.4,1473
AC-001,2026-06-11 19:13:13,97.7,2.52,3.88,50.5,1489
AC-001,2026-06-11 20:13:13,98.0,2.92,3.84,50.6,1472
AC-001,2026-06-11 21:13:13,98.2,3.01,3.81,50.7,1470
AC-001,2026-06-11 22:13:13,98.4,3.23,3.78,50.8,1476
AC-001,2026-06-11 23:13:13,98.7,3.08,3.75,50.9,1480
AC-001,2026-06-12 00:13:13,98.9,2.71,3.71,51.0,1483
AC-001,2026-06-12 01:13:13,99.1,3.22,3.68,51.1,1465
AC-001,2026-06-12 02:13:13,99.4,3.2,3.65,51.1,1478
AC-001,2026-06-12 03:13:13,99.6,2.96,3.62,51.2,1481
AC-001,2026-06-12 04:13:13,99.9,3.13,3.58,51.3,1499
AC-001,2026-06-12 05:13:13,100.1,3.09,3.55,51.4,1475
AC-001,2026-06-12 06:13:13,100.3,3.23,3.52,51.5,1493
AC-001,2026-06-12 07:13:13,100.6,2.86,3.49,51.6,1493
AC-001,2026-06-12 08:13:13,100.8,2.86,3.45,51.7,1464
AC-001,2026-06-12 09:13:13,101.0,3.03,3.42,51.8,1462
AC-001,2026-06-12 10:13:13,101.3,2.89,3.39,51.9,1472
AC-001,2026-06-12 11:13:13,101.5,3.18,3.36,51.9,1480
AC-001,2026-06-12 12:13:13,101.7,3.22,3.32,52.0,1488
AC-001,2026-06-12 13:13:13,102.0,2.8,3.29,52.1,1478
AC-001,2026-06-12 14:13:13,102.2,2.98,3.26,52.2,1469
AC-001,2026-06-12 15:13:13,102.5,3.03,3.22,52.3,1474
AC-001,2026-06-12 16:13:13,102.7,3.11,3.19,52.4,1479
AC-001,2026-06-12 17:13:13,102.9,2.85,3.16,52.5,1470
AC-001,2026-06-12 18:13:13,103.2,2.99,3.13,52.6,1465
AC-001,2026-06-12 19:13:13,103.4,3.05,3.09,52.7,1489
AC-001,2026-06-12 20:13:13,103.6,3.02,3.06,52.7,1486
AC-001,2026-06-12 21:13:13,103.9,3.01,3.03,52.8,1480
AC-001,2026-06-12 22:13:13,104.1,3.11,3.0,52.9,1471
AC-001,2026-06-12 23:13:13,104.3,3.21,2.96,53.0,1467
AC-001,2026-06-13 00:13:13,104.6,2.64,2.93,53.1,1477
AC-001,2026-06-13 01:13:13,104.8,3.18,2.9,53.2,1469
AC-001,2026-06-13 02:13:13,105.1,3.13,2.87,53.3,1475
AC-001,2026-06-13 03:13:13,105.3,2.85,2.83,53.4,1482
AC-001,2026-06-13 04:13:13,105.5,3.27,2.8,53.4,1473
AC-001,2026-06-13 05:13:13,105.8,3.02,2.77,53.5,1480
AC-001,2026-06-13 06:13:13,106.0,3.24,2.74,53.6,1484
AC-001,2026-06-13 07:13:13,106.2,3.37,2.7,53.7,1470
AC-001,2026-06-13 08:13:13,106.5,3.15,2.67,53.8,1476
AC-001,2026-06-13 09:13:13,106.7,3.59,2.64,53.9,1498
AC-001,2026-06-13 10:13:13,107.0,3.15,2.61,54.0,1489
AC-001,2026-06-13 11:13:13,107.2,3.0,2.57,54.1,1474
AC-001,2026-06-13 12:13:13,107.4,3.4,2.54,54.2,1476
AC-001,2026-06-13 13:13:13,107.7,3.45,2.51,54.2,1481
AC-001,2026-06-13 14:13:13,107.9,3.43,2.48,54.3,1477
AC-001,2026-06-13 15:13:13,108.1,3.38,2.44,54.4,1500
AC-001,2026-06-13 16:13:13,108.4,3.25,2.41,54.5,1480
AC-001,2026-06-13 17:13:13,108.6,3.3,2.38,54.6,1468
AC-001,2026-06-13 18:13:13,108.8,3.48,2.35,54.7,1468
AC-001,2026-06-13 19:13:13,109.1,3.75,2.31,54.8,1492
AC-001,2026-06-13 20:13:13,109.3,3.23,2.28,54.9,1477
AC-001,2026-06-13 21:13:13,109.6,3.3,2.25,55.0,1486
AC-001,2026-06-13 22:13:13,109.8,3.64,2.22,55.0,1470
AC-001,2026-06-13 23:13:13,110.0,3.25,2.18,55.1,1474
AC-001,2026-06-14 00:13:13,110.3,3.3,2.15,55.2,1483
AC-001,2026-06-14 01:13:13,110.5,3.36,2.12,55.3,1487
AC-001,2026-06-14 02:13:13,110.7,3.66,2.09,55.4,1464
AC-001,2026-06-14 03:13:13,111.0,3.3,2.05,55.5,1470
AC-001,2026-06-14 04:13:13,111.2,3.64,2.02,55.6,1482
AC-001,2026-06-14 05:13:13,111.4,3.16,1.99,55.7,1475
AC-001,2026-06-14 06:13:13,111.7,3.51,1.96,55.8,1479
AC-001,2026-06-14 07:13:13,111.9,3.03,1.92,55.8,1473
AC-001,2026-06-14 08:13:13,112.2,3.5,1.89,55.9,1474
AC-001,2026-06-14 09:13:13,112.4,3.28,1.86,56.0,1484
AC-001,2026-06-14 10:13:13,112.6,3.36,1.83,56.1,1471
AC-001,2026-06-14 11:13:13,112.9,3.53,1.79,56.2,1473
AC-001,2026-06-14 12:13:13,113.1,3.2,1.76,56.3,1472
AC-001,2026-06-14 13:13:13,113.3,3.49,1.73,56.4,1499
AC-001,2026-06-14 14:13:13,113.6,3.1,1.7,56.5,1477
AC-001,2026-06-14 15:13:13,113.8,3.3,1.66,56.6,1491
AC-001,2026-06-14 16:13:13,114.1,3.48,1.63,56.6,1470
AC-001,2026-06-14 17:13:13,114.3,3.5,1.6,56.7,1486
AC-001,2026-06-14 18:13:13,114.5,3.6,1.57,56.8,1462
AC-001,2026-06-14 19:13:13,114.8,3.33,1.53,56.9,1468
AC-002,2026-06-07 19:13:13,75.0,1.95,7.0,42.0,1495
AC-002,2026-06-07 20:13:13,75.1,2.16,6.99,42.0,1465
AC-002,2026-06-07 21:13:13,75.2,2.01,6.98,42.1,1472
AC-002,2026-06-07 22:13:13,75.3,1.71,6.97,42.1,1480
AC-002,2026-06-07 23:13:13,75.4,2.29,6.96,42.2,1482
AC-002,2026-06-08 00:13:13,75.4,1.87,6.96,42.2,1474
AC-002,2026-06-08 01:13:13,75.5,2.34,6.95,42.3,1475
AC-002,2026-06-08 02:13:13,75.6,1.83,6.94,42.3,1502
AC-002,2026-06-08 03:13:13,75.7,2.26,6.93,42.4,1478
AC-002,2026-06-08 04:13:13,75.8,2.02,6.92,42.4,1503
AC-002,2026-06-08 05:13:13,75.9,1.88,6.91,42.5,1490
AC-002,2026-06-08 06:13:13,76.0,1.95,6.9,42.5,1476
AC-002,2026-06-08 07:13:13,76.1,2.07,6.89,42.6,1464
AC-002,2026-06-08 08:13:13,76.2,2.24,6.88,42.6,1495
AC-002,2026-06-08 09:13:13,76.2,2.25,6.88,42.7,1480
AC-002,2026-06-08 10:13:13,76.3,1.97,6.87,42.7,1463
AC-002,2026-06-08 11:13:13,76.4,1.95,6.86,42.8,1483
AC-002,2026-06-08 12:13:13,76.5,1.95,6.85,42.8,1489
AC-002,2026-06-08 13:13:13,76.6,2.13,6.84,42.9,1486
AC-002,2026-06-08 14:13:13,76.7,2.15,6.83,42.9,1484
AC-002,2026-06-08 15:13:13,76.8,2.0,6.82,42.9,1475
AC-002,2026-06-08 16:13:13,76.9,1.98,6.81,43.0,1492
AC-002,2026-06-08 17:13:13,77.0,2.33,6.8,43.0,1463
AC-002,2026-06-08 18:13:13,77.0,1.96,6.8,43.1,1477
AC-002,2026-06-08 19:13:13,77.1,1.99,6.79,43.1,1496
AC-002,2026-06-08 20:13:13,77.2,2.13,6.78,43.2,1487
AC-002,2026-06-08 21:13:13,77.3,1.99,6.77,43.2,1488
AC-002,2026-06-08 22:13:13,77.4,1.81,6.76,43.3,1487
AC-002,2026-06-08 23:13:13,77.5,2.06,6.75,43.3,1475
AC-002,2026-06-09 00:13:13,77.6,2.17,6.74,43.4,1495
AC-002,2026-06-09 01:13:13,77.7,2.04,6.73,43.4,1489
AC-002,2026-06-09 02:13:13,77.8,1.82,6.72,43.5,1493
AC-002,2026-06-09 03:13:13,77.8,2.02,6.72,43.5,1474
AC-002,2026-06-09 04:13:13,77.9,2.07,6.71,43.6,1478
AC-002,2026-06-09 05:13:13,78.0,2.08,6.7,43.6,1495
AC-002,2026-06-09 06:13:13,78.1,2.04,6.69,43.7,1499
AC-002,2026-06-09 07:13:13,78.2,2.06,6.68,43.7,1478
AC-002,2026-06-09 08:13:13,78.3,2.14,6.67,43.8,1484
AC-002,2026-06-09 09:13:13,78.4,1.96,6.66,43.8,1467
AC-002,2026-06-09 10:13:13,78.5,2.19,6.65,43.8,1488
AC-002,2026-06-09 11:13:13,78.6,2.32,6.64,43.9,1490
AC-002,2026-06-09 12:13:13,78.6,2.2,6.64,43.9,1495
AC-002,2026-06-09 13:13:13,78.7,2.14,6.63,44.0,1492
AC-002,2026-06-09 14:13:13,78.8,2.42,6.62,44.0,1463
AC-002,2026-06-09 15:13:13,78.9,2.37,6.61,44.1,1491
AC-002,2026-06-09 16:13:13,79.0,2.35,6.6,44.1,1479
AC-002,2026-06-09 17:13:13,79.1,2.26,6.59,44.2,1501
AC-002,2026-06-09 18:13:13,79.2,2.22,6.58,44.2,1494
AC-002,2026-06-09 19:13:13,79.3,2.23,6.57,44.3,1491
AC-002,2026-06-09 20:13:13,79.3,2.04,6.57,44.3,1476
AC-002,2026-06-09 21:13:13,79.4,2.09,6.56,44.4,1480
AC-002,2026-06-09 22:13:13,79.5,2.39,6.55,44.4,1488
AC-002,2026-06-09 23:13:13,79.6,2.37,6.54,44.5,1464
AC-002,2026-06-10 00:13:13,79.7,2.29,6.53,44.5,1480
AC-002,2026-06-10 01:13:13,79.8,2.43,6.52,44.6,1473
AC-002,2026-06-10 02:13:13,79.9,2.36,6.51,44.6,1479
AC-002,2026-06-10 03:13:13,80.0,2.25,6.5,44.7,1469
AC-002,2026-06-10 04:13:13,80.1,2.29,6.49,44.7,1500
AC-002,2026-06-10 05:13:13,80.1,2.16,6.49,44.7,1478
AC-002,2026-06-10 06:13:13,80.2,2.45,6.48,44.8,1482
AC-002,2026-06-10 07:13:13,80.3,2.29,6.47,44.8,1495
AC-002,2026-06-10 08:13:13,80.4,2.19,6.46,44.9,1485
AC-002,2026-06-10 09:13:13,80.5,2.51,6.45,44.9,1470
AC-002,2026-06-10 10:13:13,80.6,2.33,6.44,45.0,1466
AC-002,2026-06-10 11:13:13,80.7,2.51,6.43,45.0,1488
AC-002,2026-06-10 12:13:13,80.8,2.12,6.42,45.1,1487
AC-002,2026-06-10 13:13:13,80.9,2.39,6.41,45.1,1489
AC-002,2026-06-10 14:13:13,80.9,2.23,6.41,45.2,1472
AC-002,2026-06-10 15:13:13,81.0,2.09,6.4,45.2,1474
AC-002,2026-06-10 16:13:13,81.1,2.42,6.39,45.3,1470
AC-002,2026-06-10 17:13:13,81.2,2.08,6.38,45.3,1464
AC-002,2026-06-10 18:13:13,81.3,2.5,6.37,45.4,1480
AC-002,2026-06-10 19:13:13,81.4,2.08,6.36,45.4,1485
AC-002,2026-06-10 20:13:13,81.5,2.42,6.35,45.5,1476
AC-002,2026-06-10 21:13:13,81.6,2.36,6.34,45.5,1493
AC-002,2026-06-10 22:13:13,81.7,2.51,6.33,45.6,1481
AC-002,2026-06-10 23:13:13,81.7,2.39,6.33,45.6,1487
AC-002,2026-06-11 00:13:13,81.8,2.43,6.32,45.6,1478
AC-002,2026-06-11 01:13:13,81.9,2.27,6.31,45.7,1481
AC-002,2026-06-11 02:13:13,82.0,2.51,6.3,45.7,1491
AC-002,2026-06-11 03:13:13,82.1,2.28,6.29,45.8,1486
AC-002,2026-06-11 04:13:13,82.2,2.14,6.28,45.8,1476
AC-002,2026-06-11 05:13:13,82.3,2.37,6.27,45.9,1469
AC-002,2026-06-11 06:13:13,82.4,2.33,6.26,45.9,1474
AC-002,2026-06-11 07:13:13,82.5,2.09,6.25,46.0,1494
AC-002,2026-06-11 08:13:13,82.5,2.23,6.25,46.0,1505
AC-002,2026-06-11 09:13:13,82.6,2.13,6.24,46.1,1489
AC-002,2026-06-11 10:13:13,82.7,2.4,6.23,46.1,1472
AC-002,2026-06-11 11:13:13,82.8,2.36,6.22,46.2,1493
AC-002,2026-06-11 12:13:13,82.9,2.42,6.21,46.2,1492
AC-002,2026-06-11 13:13:13,83.0,2.33,6.2,46.3,1477
AC-002,2026-06-11 14:13:13,83.1,2.46,6.19,46.3,1491
AC-002,2026-06-11 15:13:13,83.2,2.33,6.18,46.4,1484
AC-002,2026-06-11 16:13:13,83.3,2.57,6.17,46.4,1458
AC-002,2026-06-11 17:13:13,83.3,2.35,6.17,46.4,1465
AC-002,2026-06-11 18:13:13,83.4,2.13,6.16,46.5,1485
AC-002,2026-06-11 19:13:13,83.5,2.52,6.15,46.5,1485
AC-002,2026-06-11 20:13:13,83.6,2.59,6.14,46.6,1481
AC-002,2026-06-11 21:13:13,83.7,2.33,6.13,46.6,1472
AC-002,2026-06-11 22:13:13,83.8,2.7,6.12,46.7,1493
AC-002,2026-06-11 23:13:13,83.9,2.83,6.11,46.7,1483
AC-002,2026-06-12 00:13:13,84.0,2.46,6.1,46.8,1482
AC-002,2026-06-12 01:13:13,84.1,2.22,6.09,46.8,1473
AC-002,2026-06-12 02:13:13,84.1,2.33,6.09,46.9,1480
AC-002,2026-06-12 03:13:13,84.2,2.41,6.08,46.9,1471
AC-002,2026-06-12 04:13:13,84.3,2.5,6.07,47.0,1492
AC-002,2026-06-12 05:13:13,84.4,2.49,6.06,47.0,1489
AC-002,2026-06-12 06:13:13,84.5,2.52,6.05,47.1,1471
AC-002,2026-06-12 07:13:13,84.6,2.4,6.04,47.1,1474
AC-002,2026-06-12 08:13:13,84.7,2.53,6.03,47.2,1472
AC-002,2026-06-12 09:13:13,84.8,2.49,6.02,47.2,1470
AC-002,2026-06-12 10:13:13,84.9,2.59,6.01,47.3,1489
AC-002,2026-06-12 11:13:13,84.9,2.72,6.01,47.3,1481
AC-002,2026-06-12 12:13:13,85.0,2.42,6.0,47.3,1497
AC-002,2026-06-12 13:13:13,85.1,2.91,5.99,47.4,1473
AC-002,2026-06-12 14:13:13,85.2,2.55,5.98,47.4,1488
AC-002,2026-06-12 15:13:13,85.3,2.26,5.97,47.5,1481
AC-002,2026-06-12 16:13:13,85.4,2.55,5.96,47.5,1481
AC-002,2026-06-12 17:13:13,85.5,2.52,5.95,47.6,1478
AC-002,2026-06-12 18:13:13,85.6,2.35,5.94,47.6,1485
AC-002,2026-06-12 19:13:13,85.7,2.43,5.93,47.7,1468
AC-002,2026-06-12 20:13:13,85.7,2.84,5.93,47.7,1465
AC-002,2026-06-12 21:13:13,85.8,2.62,5.92,47.8,1472
AC-002,2026-06-12 22:13:13,85.9,2.26,5.91,47.8,1497
AC-002,2026-06-12 23:13:13,86.0,2.68,5.9,47.9,1476
AC-002,2026-06-13 00:13:13,86.1,2.74,5.89,47.9,1487
AC-002,2026-06-13 01:13:13,86.2,2.58,5.88,48.0,1483
AC-002,2026-06-13 02:13:13,86.3,2.81,5.87,48.0,1497
AC-002,2026-06-13 03:13:13,86.4,2.51,5.86,48.1,1455
AC-002,2026-06-13 04:13:13,86.4,2.78,5.86,48.1,1466
AC-002,2026-06-13 05:13:13,86.5,2.59,5.85,48.2,1490
AC-002,2026-06-13 06:13:13,86.6,2.76,5.84,48.2,1477
AC-002,2026-06-13 07:13:13,86.7,2.74,5.83,48.2,1473
AC-002,2026-06-13 08:13:13,86.8,2.69,5.82,48.3,1466
AC-002,2026-06-13 09:13:13,86.9,2.44,5.81,48.3,1486
AC-002,2026-06-13 10:13:13,87.0,2.54,5.8,48.4,1477
AC-002,2026-06-13 11:13:13,87.1,2.62,5.79,48.4,1472
AC-002,2026-06-13 12:13:13,87.2,2.35,5.78,48.5,1474
AC-002,2026-06-13 13:13:13,87.2,2.53,5.78,48.5,1489
AC-002,2026-06-13 14:13:13,87.3,2.73,5.77,48.6,1476
AC-002,2026-06-13 15:13:13,87.4,2.5,5.76,48.6,1471
AC-002,2026-06-13 16:13:13,87.5,2.82,5.75,48.7,1499
AC-002,2026-06-13 17:13:13,87.6,2.63,5.74,48.7,1498
AC-002,2026-06-13 18:13:13,87.7,2.67,5.73,48.8,1475
AC-002,2026-06-13 19:13:13,87.8,2.91,5.72,48.8,1471
AC-002,2026-06-13 20:13:13,87.9,2.72,5.71,48.9,1482
AC-002,2026-06-13 21:13:13,88.0,2.76,5.7,48.9,1491
AC-002,2026-06-13 22:13:13,88.0,2.75,5.7,49.0,1492
AC-002,2026-06-13 23:13:13,88.1,2.8,5.69,49.0,1481
AC-002,2026-06-14 00:13:13,88.2,2.69,5.68,49.1,1476
AC-002,2026-06-14 01:13:13,88.3,2.89,5.67,49.1,1464
AC-002,2026-06-14 02:13:13,88.4,2.58,5.66,49.1,1481
AC-002,2026-06-14 03:13:13,88.5,2.76,5.65,49.2,1465
AC-002,2026-06-14 04:13:13,88.6,2.86,5.64,49.2,1499
AC-002,2026-06-14 05:13:13,88.7,2.47,5.63,49.3,1498
AC-002,2026-06-14 06:13:13,88.8,2.63,5.62,49.3,1479
AC-002,2026-06-14 07:13:13,88.8,2.54,5.62,49.4,1477
AC-002,2026-06-14 08:13:13,88.9,2.78,5.61,49.4,1494
AC-002,2026-06-14 09:13:13,89.0,2.6,5.6,49.5,1482
AC-002,2026-06-14 10:13:13,89.1,2.7,5.59,49.5,1476
AC-002,2026-06-14 11:13:13,89.2,2.75,5.58,49.6,1495
AC-002,2026-06-14 12:13:13,89.3,2.83,5.57,49.6,1472
AC-002,2026-06-14 13:13:13,89.4,2.68,5.56,49.7,1478
AC-002,2026-06-14 14:13:13,89.5,2.65,5.55,49.7,1464
AC-002,2026-06-14 15:13:13,89.6,2.96,5.54,49.8,1481
AC-002,2026-06-14 16:13:13,89.6,2.84,5.54,49.8,1494
AC-002,2026-06-14 17:13:13,89.7,2.85,5.53,49.9,1472
AC-002,2026-06-14 18:13:13,89.8,2.84,5.52,49.9,1492
AC-002,2026-06-14 19:13:13,89.9,2.95,5.51,50.0,1487
CF-003,2026-06-07 19:13:13,57.1,1.13,0.0,12.5,1446
CF-003,2026-06-07 20:13:13,48.8,1.73,0.0,11.8,1444
CF-003,2026-06-07 21:13:13,57.9,1.22,0.0,10.4,1458
CF-003,2026-06-07 22:13:13,57.3,1.76,0.25,12.9,1457
CF-003,2026-06-07 23:13:13,56.7,0.83,0.09,13.4,1443
CF-003,2026-06-08 00:13:13,56.2,1.19,0.0,9.5,1443
CF-003,2026-06-08 01:13:13,48.9,1.7,0.0,12.8,1441
CF-003,2026-06-08 02:13:13,56.4,1.23,0.03,16.0,1437
CF-003,2026-06-08 03:13:13,56.9,1.77,0.0,13.5,1435
CF-003,2026-06-08 04:13:13,50.5,1.57,0.0,13.3,1451
CF-003,2026-06-08 05:13:13,57.6,1.53,0.19,10.2,1437
CF-003,2026-06-08 06:13:13,55.9,1.25,0.15,11.7,1448
CF-003,2026-06-08 07:13:13,53.9,1.73,0.0,11.3,1465
CF-003,2026-06-08 08:13:13,56.4,1.49,0.0,11.8,1438
CF-003,2026-06-08 09:13:13,60.8,1.44,0.0,9.2,1446
CF-003,2026-06-08 10:13:13,58.0,1.36,0.0,11.2,1448
CF-003,2026-06-08 11:13:13,55.1,1.6,0.0,12.4,1467
CF-003,2026-06-08 12:13:13,51.8,1.52,0.5,8.6,1445
CF-003,2026-06-08 13:13:13,56.4,1.57,0.23,14.1,1462
CF-003,2026-06-08 14:13:13,56.6,1.4,0.01,10.8,1465
CF-003,2026-06-08 15:13:13,57.8,1.72,0.0,6.7,1430
CF-003,2026-06-08 16:13:13,52.8,1.59,0.35,14.0,1453
CF-003,2026-06-08 17:13:13,55.3,1.39,0.57,11.5,1453
CF-003,2026-06-08 18:13:13,52.2,1.59,0.0,13.9,1437
CF-003,2026-06-08 19:13:13,54.6,1.68,0.26,12.0,1433
CF-003,2026-06-08 20:13:13,54.8,1.32,0.0,10.9,1451
CF-003,2026-06-08 21:13:13,57.3,1.42,0.03,15.0,1446
CF-003,2026-06-08 22:13:13,56.8,1.42,0.0,5.6,1466
CF-003,2026-06-08 23:13:13,55.6,1.48,0.18,10.7,1441
CF-003,2026-06-09 00:13:13,53.7,1.41,0.0,12.7,1430
CF-003,2026-06-09 01:13:13,58.8,1.59,0.0,7.5,1460
CF-003,2026-06-09 02:13:13,53.2,1.72,0.0,11.3,1470
CF-003,2026-06-09 03:13:13,48.9,1.64,0.39,10.3,1449
CF-003,2026-06-09 04:13:13,55.0,1.82,0.0,14.2,1450
CF-003,2026-06-09 05:13:13,58.6,1.55,0.0,11.8,1458
CF-003,2026-06-09 06:13:13,52.7,1.76,0.3,15.1,1444
CF-003,2026-06-09 07:13:13,48.7,1.78,0.0,11.7,1452
CF-003,2026-06-09 08:13:13,60.5,1.45,0.0,15.7,1457
